candidate_id,degree,institution,year
4811e562-a91c-4192-83e8-644b8a45a905,MS,North Natalieview University,2019
2751ab86-7dae-4949-9700-b4618cb6b0ba,BS,Port David University,2016
a97a2846-d2ea-4f18-8b67-97a1166ecfe3,BS,West Nicholasborough University,2020
793bed1b-14f9-4394-ba20-74034ab427e3,MS,Port Sarah University,2017
43d75413-a939-4bd1-a516-b0d47d3572cc,MS,Port Anna University,2012
5e911b91-61a6-4444-a2af-a6295efb336e,MS,New Ryan University,2017
d64acb1f-39eb-438a-836e-3c49770e09db,PhD,Lake John University,2020
5802b640-ab0b-4cc5-95f0-ea1918c180d2,PhD,Elizabethmouth University,2016
ddecc40b-afe3-4f13-8917-78e8f7336094,BS,Lake Madisonport University,2016
08e3f771-b6dc-4d05-9a9b-ccc1e71c681a,BS,Schneidertown University,2012
31567f2a-cef7-4829-b63e-6ef4f8dfcc3a,BS,Audreychester University,2020
d2938e6e-ff4d-4930-b3b0-fb536f75ee8a,MS,West Georgemouth University,2021
16476e3f-1127-4207-8eae-1325ea074d80,MS,Cassidyhaven University,2018
032a461a-df9b-4c1f-aacb-1f6d7549c9f9,BS,East Henry University,2012
c2250530-952a-4345-9682-d9ff910c4cb7,PhD,West Ruben University,2022
de12dbf1-493d-4196-8926-a02119da8262,MS,Lake Scott University,2019
2c154804-0997-49a3-b919-955c9be4f19f,BS,Johnsonside University,2016
b0c58278-54dc-4ba5-a103-5e1ce3bb22ae,MS,East Scottfort University,2015
cb2cc805-d140-4430-967e-642e052dfb9a,PhD,New Patricia University,2020
3a5b6ac5-de70-4b72-b8f5-8a261924c644,MS,West Sandraview University,2014
a543148e-9adf-4981-aab1-9e15ba92992e,MS,Heatherton University,2013
bdae8eff-683c-410e-92ef-a93be9d6bb7e,BS,Port Adam University,2011
67443fb8-81bd-45d5-b5a6-571c4fa5c35e,BS,Port Kathleen University,2013
d6441a9d-3362-4476-953a-e57fe00bd534,BS,Brucefort University,2017
b462e3e8-5c41-4a83-ab04-159c0cf173f9,MS,Henrystad University,2018
1fb621ae-ec4e-4cbb-a2aa-378c659e0258,MS,Hahnborough University,2017
f5e4a9c1-2d76-4ffa-b233-d5af98133da1,BS,Port Richard University,2023
d4b3e8cf-bfbb-4ab3-8237-8962e4fd6c34,BS,Cunninghamfort University,2016
